road_id,pt_idx,x,z
8,30,-30.214,-30.626
8,31,-24.583,-32.258
8,32,-18.941,-33.984
8,33,-13.448,-35.995
8,34,-8.062,-38.071
8,35,-3.078,-40.078
8,36,1.559,-41.587
8,37,6.039,-42.486
8,38,10.411,-42.611
8,39,14.949,-41.687
8,40,19.707,-39.858
8,41,24.677,-37.262
8,42,29.977,-33.925
8,43,35.604,-29.851
8,44,41.023,-24.972
8,45,46.216,-19.224
8,46,50.848,-12.768
8,47,54.394,-5.803
8,48,56.626,1.407
9,0,88.573,-3.054
9,1,87.48,10.638
9,2,84.727,24.479
9,3,80.491,37.534
9,4,74.889,48.708
9,5,68.319,56.505
9,6,60.414,61.674
9,7,51.384,65.186
9,8,41.725,67.65
9,9,31.58,70.046
9,10,21.979,73.299
9,11,12.796,76.704
9,12,3.086,79.12
9,13,-7.093,80.007
9,14,-17.774,78.673
9,15,-29.84,75.942
9,16,-43.666,72.124
9,17,-57.264,67.627
9,18,-67.626,61.989
9,19,-74.698,55.116
9,20,-78.689,47.08
9,21,-80.127,37.881
9,22,-80.764,26.78
9,23,-81.432,14.09
9,24,-81.823,0.02
9,25,-81.111,-13.976
9,26,-78.761,-26.946
9,27,-74.854,-38.048
9,28,-69.462,-46.985
9,29,-62.602,-52.708
9,30,-54.463,-56.891
9,31,-45.393,-60.99
9,32,-35.78,-65.634
9,33,-25.894,-70.731
9,34,-16.019,-75.804
9,35,-6.205,-79.905
9,36,3.608,-82.181
9,37,12.766,-82.209
9,38,20.707,-80.319
9,39,27.552,-76.818
9,40,33.912,-72.382
9,41,41.33,-67.447
9,42,49.882,-62.129
9,43,59.436,-55.821
9,44,68.558,-47.892
9,45,76.728,-38.623
9,46,83.241,-28.018
9,47,87.649,-16.085
9,48,88.573,-3.054
10,0,-25.699,72.053
10,1,-28.127,33.956
11,0,-39.911,91.808
11,1,-21.222,73.25
12,0,-13.623,109.798
12,1,-10.732,76.806
13,0,-74.305,20.138
13,1,-51.1,11.874
14,0,-89.145,45.584
14,1,-74.522,15.76
15,0,-97.327,16.755
15,1,-76.945,-3.282
16,0,-27.509,-25.276
16,1,-15.827,-3.953
17,0,0.111,-72.102
17,1,4.801,-40.253
18,0,18.981,-100.673
18,1,-0.105,-72.077
19,0,-5.577,-102.73
19,1,-16.717,-70.784
20,0,63.955,-44.905
20,1,27.438,-27.127
21,0,78.381,-60.507
21,1,57.592,-50.279
22,0,79.296,28.781
22,1,56.532,12.109
23,0,97.645,18.359
23,1,79.444,28.231
24,0,37.487,61.856
24,1,26.21,33.747
25,0,29.627,91.937
25,1,40.552,61.413
26,0,61.167,79.006
26,1,52.466,60.283
